Category,Type,Value,Count
lane,ground_truth,left lane,91
lane,ground_truth,right lane,91
lane,ground_truth,unclear,34
obstacle,ground_truth,far away,70
obstacle,ground_truth,near,56
obstacle,ground_truth,very close,14
obstacle,ground_truth,not on the same lane,76
decision,ground_truth,straight forward,146
decision,ground_truth,slow cruise,56
decision,ground_truth,switch lane,14
final_decision,ground_truth,straight forward,146
final_decision,ground_truth,slow cruise,56
final_decision,ground_truth,switch lane,14

lane,model,left lane,90
lane,model,right lane,90
lane,model,unclear,36
obstacle,model,far away,68
obstacle,model,near,64
obstacle,model,very close,11
obstacle,model,not on the same lane,73
decision,model,straight forward,141
decision,model,slow cruise,64
decision,model,switch lane,11
final_decision,model,straight forward,141
final_decision,model,slow cruise,64
final_decision,model,switch lane,11
