Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,414,22,94.95%
decision,436,414,22,94.95%
final_decision,436,414,22,94.95%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,94,4,95.92%
obstacle:near,78,61,17,78.21%
obstacle:very close,62,61,1,98.39%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,292,4,98.65%
decision:slow cruise,78,61,17,78.21%
decision:switch lane,62,61,1,98.39%
final_decision:straight forward,296,292,4,98.65%
final_decision:slow cruise,78,61,17,78.21%
final_decision:switch lane,62,61,1,98.39%
