Category,Type,Value,Count
lane,ground_truth,right lane,139
lane,ground_truth,left lane,93
lane,model,right lane,133
lane,model,left lane,99
obstacle,ground_truth,near,82
obstacle,ground_truth,far away,76
obstacle,ground_truth,very close,47
obstacle,ground_truth,not on the same lane,27
obstacle,model,near,83
obstacle,model,far away,70
obstacle,model,very close,52
obstacle,model,not on the same lane,27
decision,ground_truth,straight forward,103
decision,ground_truth,slow cruise,82
decision,ground_truth,change lane left,25
decision,ground_truth,change lane right,22
decision,model,straight forward,97
decision,model,slow cruise,87
decision,model,change lane right,25
decision,model,change lane left,23
final_decision,ground_truth,straight forward,103
final_decision,ground_truth,slow cruise,82
final_decision,ground_truth,change lane left,25
final_decision,ground_truth,change lane right,22
final_decision,model,straight forward,97
final_decision,model,slow cruise,87
final_decision,model,change lane right,25
final_decision,model,change lane left,23
